2025-03-27 20:50:41 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: 霓虹甜心（20250327）.mp3 | 视频文件: [P2]霓虹甜心_20250327205041.mp4 -> h:\Yoyi\videos\old
2025-03-27 21:13:43 | 作者: 锟斤拷一Yoyi | 专辑: 锟斤拷一锟斤拷锟斤拷锟斤拷 | 音乐文件: 永远的奥特曼（20250304）.mp3 | 视频文件: 【又一歌】丽娜队员！《永远的奥特曼》cover LINE 迪迦奥特曼片尾曲_哔哩哔哩_bilibili_20250327211343.mp4 -> h:\Yoyi\videos\old
2025-03-27 21:18:40 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: 永远的奥特曼（20250304）.mp3 | 视频文件: 【又一歌】丽娜队员！《永远的奥特曼》cover LINE 迪迦奥特曼片尾曲_哔哩哔哩_bilibili_20250327211343_20250327211840.mp4 -> h:\Yoyi\videos\old
2025-03-27 22:35:34 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: 心愿便利贴（20250218）.mp3 | 视频文件: [P1]心愿便利贴_20250327223534.mp4 -> h:\Yoyi\videos\old
2025-03-27 22:37:42 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: 月夜（20250218）.mp3 | 视频文件: [P2]月夜_20250327223742.mp4 -> h:\Yoyi\videos\old
2025-03-27 22:39:03 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: 恋爱频率（20250218）.mp3 | 视频文件: [P3]恋爱频率_20250327223903.mp4 -> h:\Yoyi\videos\old
2025-03-27 22:39:30 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: 亲亲（20250218）.mp3 | 视频文件: [P4]亲亲_20250327223930.mp4 -> h:\Yoyi\videos\old
2025-03-27 22:40:04 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: 123木头人（20250218）.mp3 | 视频文件: [P5]123木头人_20250327224004.mp4 -> h:\Yoyi\videos\old
2025-03-27 22:40:29 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: 长腿叔叔（20250218）.mp3 | 视频文件: [P6]长腿叔叔_20250327224029.mp4 -> h:\Yoyi\videos\old
2025-03-27 22:40:52 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: 苦茶（20250218）.mp3 | 视频文件: [P7]苦茶_20250327224052.mp4 -> h:\Yoyi\videos\old
2025-03-27 22:41:21 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: 专属天使（20250218）.mp3 | 视频文件: [P8]专属天使_20250327224121.mp4 -> h:\Yoyi\videos\old
2025-03-27 22:41:46 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: 再次重逢的世界（20250218）.mp3 | 视频文件: [P9]再次重逢的世界_20250327224146.mp4 -> h:\Yoyi\videos\old
2025-03-28 11:38:39 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: 大鱼（20250215）.mp3 | 视频文件: 【又一】直播复刻“恬豆断气版《大鱼》”漏气学的有九分相似🤣但是缺少了牢豆那股自然感🤭_哔哩哔哩_bilibili_20250328113839.mp4 -> H:\Yoyi\videos\old
2025-03-28 11:42:21 | 剪辑文件: 大鱼（20250215）.mp3 | 起始: 36s | 结束: 5：42s
2025-03-28 11:52:27 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: 永不失联的爱（20250215）.mp3 | 视频文件: 【又一歌】试麦《永不失联的爱》cover周兴哲 2025.02.15_哔哩哔哩_bilibili_20250328115227.mp4 -> H:\Yoyi\videos\old
2025-03-28 11:57:55 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: 你（20250212）.mp3 | 视频文件: 【又一歌】清唱晚安曲《你》cover林依晨 2025.02.12_哔哩哔哩_bilibili_20250328115755.mp4 -> H:\Yoyi\videos\old
2025-03-29 11:31:15 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: 性感小野猫（20250209）.mp3 | 视频文件: [P01]性感小野猫_20250329113115.mp4 -> H:\Yoyi\videos\old
2025-03-29 11:34:40 | 作者: 又一Yoyi | 专辑: 又一次来了 | 音乐文件: 遇见（20250209）.mp3 | 视频文件: [P02]遇见_20250329113440.mp4 -> H:\Yoyi\videos\old
